,Year,Market Value
1840,2013,1466.47
1841,2013,1472.05
1842,2013,1485.98
1843,2013,1502.96
1844,2013,1513.17
1845,2013,1517.93
1846,2013,1519.79
1847,2013,1515.6
1848,2013,1518.2
1849,2013,1551.18
1850,2013,1560.7
1851,2013,1556.89
1852,2013,1569.19
1853,2013,1553.28
1854,2013,1588.85
1855,2013,1555.25
1856,2013,1582.24
1857,2013,1614.42
1858,2013,1633.7
1859,2013,1667.47
1860,2013,1649.6
1861,2013,1630.74
1862,2013,1643.38
1863,2013,1626.73
1864,2013,1592.43
1865,2013,1606.28
1866,2013,1631.89
1867,2013,1680.19
1868,2013,1692.09
1869,2013,1691.65
1870,2013,1709.67
1871,2013,1691.42
1872,2013,1655.83
1873,2013,1663.5
1874,2013,1632.97
1875,2013,1655.17
1876,2013,1687.99
1877,2013,1709.91
1878,2013,1691.75
1879,2013,1690.5
1880,2013,1703.2
1881,2013,1744.5
1882,2013,1759.77
1883,2013,1761.64
1884,2013,1770.61
1885,2013,1798.18
1886,2013,1804.76
1887,2013,1805.81
1888,2013,1805.09
1889,2013,1775.32
1890,2013,1818.32
1891,2013,1841.4
1892,2014,1831.37
1893,2014,1842.37
1894,2014,1838.7
1895,2014,1790.29
1896,2014,1782.59
1897,2014,1797.02
1898,2014,1838.63
1899,2014,1836.25
1900,2014,1859.45
1901,2014,1878.04
1902,2014,1841.13
1903,2014,1866.52
1904,2014,1857.62
1905,2014,1865.09
1906,2014,1815.69
1907,2014,1864.85
1908,2014,1863.4
1909,2014,1881.14
1910,2014,1878.48
1911,2014,1877.86
1912,2014,1900.53
1913,2014,1923.57
1914,2014,1949.44
1915,2014,1936.16
1916,2014,1962.87
1917,2014,1960.96
1918,2014,1985.44
1919,2014,1967.57
1920,2014,1978.22
1921,2014,1978.34
1922,2014,1925.15
1923,2014,1931.59
1924,2014,1955.06
1925,2014,1988.4
1926,2014,2003.37
1927,2014,2007.71
1928,2014,1985.54
1929,2014,2010.4
1930,2014,1982.85
1931,2014,1967.9
1932,2014,1906.13
1933,2014,1886.76
1934,2014,1964.58
1935,2014,2018.05
1936,2014,2031.92
1937,2014,2039.82
1938,2014,2063.5
1939,2014,2067.56
1940,2014,2075.37
1941,2014,2002.33
1942,2014,2070.65
1943,2014,2088.77
1944,2015,2058.2
1945,2015,2044.81
1946,2015,2019.42
1947,2015,2051.82
1948,2015,1994.99
1949,2015,2055.47
1950,2015,2096.99
1951,2015,2110.3
1952,2015,2104.5
1953,2015,2071.26
1954,2015,2053.4
1955,2015,2108.1
1956,2015,2061.02
1957,2015,2066.96
1958,2015,2102.06
1959,2015,2081.18
1960,2015,2117.69
1961,2015,2108.29
1962,2015,2116.1
1963,2015,2122.73
1964,2015,2126.06
1965,2015,2107.39
1966,2015,2092.83
1967,2015,2094.11
1968,2015,2109.99
1969,2015,2101.49
1970,2015,2076.78
1971,2015,2076.62
1972,2015,2126.64
1973,2015,2079.65
1974,2015,2103.84
1975,2015,2077.57
1976,2015,2091.54
1977,2015,1970.89
1978,2015,1988.87
1979,2015,1921.22
1980,2015,1961.05
1981,2015,1958.08
1982,2015,1931.34
1983,2015,1951.36
1984,2015,2014.89
1985,2015,2033.11
1986,2015,2075.15
1987,2015,2079.36
1988,2015,2099.2
1989,2015,2023.04
1990,2015,2089.17
1991,2015,2090.11
1992,2015,2091.69
1993,2015,2012.37
1994,2015,2005.55
1995,2015,2060.99
1996,2015,2043.94
