SBA Physical Declaration Number,SBA EIDL Declaration Number,SBA Disaster Number,Damaged Property Zip Code,County Name,Verified Loss Real Estate,Verified Loss Content,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL,Year,State Name
11353,11354.0,TX-00297,78587.0,CAMERON,0.0,20600.0,0.0,20600.0,16900.0,2008,TEXAS
11353,11354.0,TX-00297,78578.0,CAMERON,6428.0,5000.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78598.0,WILLACY,52496.0,400.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78552.0,CAMERON,28798.0,94790.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78580.0,WILLACY,165752.0,13625.0,16800.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78583.0,CAMERON,123691.0,32044.0,41700.0,5500.0,56200.0,2008,TEXAS
11353,11354.0,TX-00297,78597.0,CAMERON,30118.0,47900.0,14000.0,0.0,5000.0,2008,TEXAS
11353,11354.0,TX-00297,78586.0,CAMERON,771577.0,108130.0,437700.0,70400.0,42100.0,2008,TEXAS
11353,11354.0,TX-00297,78589.0,HIDALGO,9445.0,2660.0,9500.0,2700.0,3000.0,2008,TEXAS
11353,11354.0,TX-00297,78590.0,WILLACY,854993.0,117277.0,326300.0,94400.0,419000.0,2008,TEXAS
11353,11354.0,TX-00297,78593.0,CAMERON,217784.0,8410.0,36600.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78594.0,WILLACY,15111.0,0.0,0.0,0.0,0.0,2008,TEXAS
11353,11354.0,TX-00297,78597.0,CAMERON,9717871.0,1164965.0,1829700.0,465800.0,1173100.0,2008,TEXAS
11353,11354.0,TX-00297,78597.0,CAMERON,3969.0,70896.0,0.0,14000.0,31100.0,2008,TEXAS
11353,11354.0,TX-00297,78596.0,HIDALGO,214321.0,74255.0,50100.0,1800.0,170900.0,2008,TEXAS
11430,11431.0,TX-00308,77510.0,GALVESTON,117841.0,22462.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77511.0,GALVESTON,6662.0,0.0,6700.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,75925.0,CHEROKEE,44008.0,7987.0,44100.0,4800.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77511.0,BRAZORIA,3665374.0,382000.0,2097700.0,352700.0,178200.0,2008,TEXAS
11430,11431.0,TX-00308,77511.0,BRAZORIA,7710.0,4460.0,0.0,0.0,15000.0,2008,TEXAS
11430,11431.0,TX-00308,77512.0,GALVESTON,71595.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77511.0,GALVESTON,0.0,0.0,0.0,0.0,27300.0,2008,TEXAS
11430,11431.0,TX-00308,77514.0,CHAMBERS,1476500.0,1029381.0,393200.0,427000.0,110300.0,2008,TEXAS
11430,11431.0,TX-00308,77515.0,BRAZORIA,295113.0,3200.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77515.0,BRAZORIA,2294334.0,157145.0,780500.0,500.0,74000.0,2008,TEXAS
11430,11431.0,TX-00308,77516.0,BRAZORIA,33786.0,1500.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77515.0,BRAZORIA,2024.0,3385.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77517.0,GALVESTON,91191.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77346.0,HARRIS,0.0,26142.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77518.0,GALVESTON,1394077.0,235702.0,153700.0,41600.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77414.0,MATAGORDA,44442.0,2200.0,19600.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77563.0,GALVESTON,122343.0,46941.0,32600.0,15500.0,1600.0,2008,TEXAS
11430,11431.0,TX-00308,77520.0,CHAMBERS,671218.0,8418.0,400.0,0.0,13200.0,2008,TEXAS
11430,11431.0,TX-00308,77523.0,CHAMBERS,516309.0,343225.0,462400.0,336700.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77520.0,HARRIS,3497468.0,321371.0,813400.0,51100.0,77400.0,2008,TEXAS
11430,11431.0,TX-00308,77521.0,HARRIS,3629630.0,297203.0,865400.0,22500.0,70600.0,2008,TEXAS
11430,11431.0,TX-00308,77522.0,HARRIS,26995.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77532.0,HARRIS,43925.0,0.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,79420.0,HARRIS,0.0,43500.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77521.0,HARRIS,77224.0,6944.0,0.0,0.0,5000.0,2008,TEXAS
11430,11431.0,TX-00308,77523.0,CHAMBERS,43080.0,24278.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77417.0,FORT BEND,6547.0,0.0,6600.0,0.0,10500.0,2008,TEXAS
11430,11431.0,TX-00308,77701.0,CHAMBERS,14833.0,10795.0,0.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77701.0,JEFFERSON,2097530.0,116856.0,1041300.0,41000.0,34400.0,2008,TEXAS
11430,11431.0,TX-00308,77702.0,JEFFERSON,1937697.0,133536.0,305900.0,118400.0,82600.0,2008,TEXAS
11430,11431.0,TX-00308,77703.0,JEFFERSON,3175952.0,98499.0,917400.0,3200.0,6200.0,2008,TEXAS
11430,11431.0,TX-00308,77704.0,JEFFERSON,16950.0,0.0,17000.0,0.0,0.0,2008,TEXAS
11430,11431.0,TX-00308,77705.0,JEFFERSON,2286767.0,746418.0,744100.0,161100.0,31300.0,2008,TEXAS
11430,11431.0,TX-00308,77706.0,JEFFERSON,2291855.0,1426094.0,95400.0,1035900.0,13300.0,2008,TEXAS
